#,Zeit,Dienst,Flags ,Prio,Quelladresse,Quelle,Zieladresse,Ziel,Rout,Typ,DPT,Info
1,2010-11-04 22:16:36.863,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_Connect,,
2,2010-11-04 22:16:36.883,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,DeviceDescriptorRead (S=0),,DescriptorType=0
3,2010-11-04 22:16:36.899,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=0),,
4,2010-11-04 22:16:36.937,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,DeviceDescriptorResponse (S=0),,"DescriptorType=0, DescriptorData=00 12"
5,2010-11-04 22:16:36.953,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=0),,
6,2010-11-04 22:16:37.326,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=1),,"Count=1, Address=0104"
7,2010-11-04 22:16:37.342,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=1),,
8,2010-11-04 22:16:37.367,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=1),,"Count=1, Address=0104, Data=$04"
9,2010-11-04 22:16:37.389,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=1),,
10,2010-11-04 22:16:37.575,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=2),,"Count=1, Address=010C"
11,2010-11-04 22:16:37.591,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=2),,
12,2010-11-04 22:16:37.615,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=2),,"Count=1, Address=010C, Data=$00"
13,2010-11-04 22:16:37.637,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=2),,
14,2010-11-04 22:16:37.665,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_Disconnect,,
15,2010-11-04 22:16:38.121,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_Connect,,
16,2010-11-04 22:16:38.142,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,DeviceDescriptorRead (S=0),,DescriptorType=0
17,2010-11-04 22:16:38.158,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=0),,
18,2010-11-04 22:16:38.186,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,DeviceDescriptorResponse (S=0),,"DescriptorType=0, DescriptorData=00 12"
19,2010-11-04 22:16:38.225,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=0),,
20,2010-11-04 22:16:38.539,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryWrite (S=1),,"Count=1, Address=010D, Data=$00"
21,2010-11-04 22:16:38.557,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=1),,
22,2010-11-04 22:16:38.581,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=2),,"Count=1, Address=010D"
23,2010-11-04 22:16:38.597,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=2),,
